siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
456500537,Unité diffusible,1956-01-01,"['DALKIA', 'DALKIA FRANCE', 'COMPAGNIE GENERALE DE CHAUFFE']",GE,10 000 salariés et plus,"[""Production et distribution de vapeur et d'air conditionné ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
785742313,Unité diffusible,1973-01-01,"['PRO A PRO DISTRIBUTION EXPORT', 'ETABLISSEMENTS JEAN DIDIER ET COMPAGNIE']",GE,100 à 199 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) alimentaire spécialisé divers', 'Commerce de gros (commerce interentreprises) de produits surgelés']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
542107800,Unité diffusible,1954-01-01,"['OTIS', 'ASCINTER OTIS']",GE,2 000 à 4 999 salariés,"[""Autres travaux d'installation n.c.a.""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire"", ""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
552046955,Unité diffusible,1955-01-01,"['ENGIE ENERGIE SERVICES', 'GDF SUEZ ENERGIE SERVICES', 'SUEZ ENERGIE SERVICES', 'ELYO', 'UFINER COFRETH', 'UNION FINANCIERE INDUSTRIE & ENERGIE']",GE,10 000 salariés et plus,"[""Production et distribution de vapeur et d'air conditionné ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
347479883,Unité diffusible,1988-07-01,"['TELEFLEX MEDICAL', 'RUSCH PILLING', 'RUSH PILLING']",ETI,50 à 99 salariés,['Commerce de gros (commerce interentreprises) de produits pharmaceutiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
632750139,Unité diffusible,1963-01-01,['DAVIGEL'],,,['Commerce de gros (commerce interentreprises) de produits surgelés'],[]
542034921,Unité diffusible,1954-01-01,"['TOTALENERGIES MARKETING SERVICES', 'TOTAL MARKETING SERVICES', 'TOTAL RAFFINAGE MARKETING', 'TOTAL FRANCE', 'TOTAL RAFFINAGE DISTRIBUTION SA', 'CIE RAFFINAGE DISTRIBUTION TOTAL FRANCE']",GE,1 000 à 1 999 salariés,"['Activités des sièges sociaux', ""Centrales d'achat non alimentaires"", 'Commerce de gros (commerce interentreprises) de combustibles et de produits annexes', 'Raffinage du pétrole']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
562050856,Unité diffusible,1981-01-27,"['B.BRAUN MEDICAL', 'B. BRAUN MEDICAL S.A.S', 'B. BRAUN MEDICAL', 'LABORATOIRES BRUNEAU']",ETI,1 000 à 1 999 salariés,"['Fabrication de matériel médico-chirurgical et dentaire', 'Recherche-développement en autres sciences physiques et naturelles']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
341539815,Unité diffusible,1987-03-09,['PARIS NORD ASSURANCES SERVICES'],PME,20 à 49 salariés,"[""Activités des agents et courtiers d'assurances""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
301573143,Unité diffusible,1975-01-01,['SARRE ET MOSELLE'],PME,10 à 19 salariés,"[""Activités des agents et courtiers d'assurances""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
379369465,Unité diffusible,1990-09-12,"['AIR LIQUIDE SANTE FRANCE', 'AIR LIQUIDE SANTE', 'COMPAGNIE FRANCAISE DE PRODUITS OXYGENES']",GE,250 à 499 salariés,"[""Travaux d'installation d'eau et de gaz en tous locaux"", 'Installation de structures métalliques, chaudronnées et de tuyauterie', 'Fabrication de gaz industriels', 'Commerce de gros (commerce interentreprises) de produits chimiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
341434108,Unité diffusible,1987-05-15,"['PRO A PRO DISTRIBUTION NORD', 'HARRYDIS']",GE,500 à 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) non spécialisé']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
316807015,Unité diffusible,1979-01-01,"['SYSCO FRANCE SAS', 'BRAKE FRANCE SERVICE', 'PICARDIE VOLAILLE']",ETI,2 000 à 4 999 salariés,['Commerce de gros (commerce interentreprises) de produits surgelés'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
722620549,Unité diffusible,1972-01-01,"['COLDIS', 'SARL COLDIS']",ETI,50 à 99 salariés,"[""Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
300599123,Unité diffusible,1977-01-01,"['ASS NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES', 'ASS NAT FORMATION PROFESSION ADULTE', 'ASS NAT FORMATION PROFESSION ADULTES', 'ASS NALE FORMATION PROFESSION ADULTES', 'ASS FORMATION PROFESSIONNELLE ADULTES']",,,"[""Formation continue d'adultes""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
343059564,Unité diffusible,1987-07-31,"['SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R', 'SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR', 'VIVENDI TELECOM INTERNATIONAL', 'CIE GENERALE SATELLITES TELEVISIONS']",GE,5 000 à 9 999 salariés,"['Télécommunications sans fil ', 'Ingénierie, études techniques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
433250834,Unité diffusible,2000-10-01,"['DEKRA INDUSTRIAL', 'DEKRA INSPECTION', 'DEKRA EQUIPEMENTS', 'NORISKO EQUIPEMENTS', 'AIF SERVICES']",ETI,2 000 à 4 999 salariés,"['Analyses, essais et inspections techniques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
443590690,Unité diffusible,2002-06-03,"['CSE SWI EX SAF', 'SANOFI AVENTIS FRANCE', ""COMITE D'ENTREPRISE SANOFI SYNTHELABO""]",PME,3 à 5 salariés,['Activités des syndicats de salariés'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
592052302,Unité diffusible,1900-01-01,"['KONE', 'SOCIETE FRANCAISE DES ASCENSEURS KONE']",ETI,2 000 à 4 999 salariés,"[""Autres travaux d'installation n.c.a.""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
779860881,Unité diffusible,1983-11-21,"['RELYENS MUTUAL INSURANCE', ""SOCIETE HOSPITALIERE D'ASSURANCES MUTUELLES"", 'SOC HOSPITALIERE ASSURANCE MUTUELLE']",ETI,250 à 499 salariés,['Autres assurances'],"[""l'entreprise appartient au champ de l'économie sociale et solidaire"", ""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
492102223,Unité diffusible,2006-07-01,['BOSTON SCIENTIFIC PTY LTD'],PME,,['Conseil pour les affaires et autres conseils de gestion'],[]
499944734,Unité diffusible,2007-09-17,"['VIATRIS HEALTHCARE', 'MYLAN EMEA SAS', 'MYLAN FRANCE SAS']",GE,10 à 19 salariés,"['Conseil pour les affaires et autres conseils de gestion', 'Autres activités de soutien aux entreprises n.c.a.', 'Activités des sièges sociaux', 'Activités des sociétés holding']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
531680445,Unité diffusible,2011-03-25,"['TOTALENERGIES MARKETING FRANCE', 'TOTAL MARKETING FRANCE', 'DAJA 134']",GE,1 000 à 1 999 salariés,"['Commerce de gros (commerce interentreprises) de combustibles et de produits annexes', 'Raffinage du pétrole', 'Extraction de pétrole brut']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
418299699,Unité diffusible,1998-03-23,"['D2PC COMMUNICATIONS SARL', 'COMPLETEL SAS', 'COMPLETEL SARL']",GE,250 à 499 salariés,['Télécommunications filaires'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
542016654,Unité diffusible,1954-01-01,"['SOCOTEC FRANCE', 'SOCOTEC', 'SOCIETE DE CONTROLE TECHNIQUE', 'STE CONTROLE TECHNIQUE SOCOTEC']",,,"['Analyses, essais et inspections techniques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
612009936,Unité diffusible,1961-01-01,"['PFIZER HOLDING FRANCE', 'PFIZER', 'SPEPHARMAX']",GE,,"['Autres activités de soutien aux entreprises n.c.a.', 'Activités des sièges sociaux', 'Activités des sociétés holding']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
582118675,Unité diffusible,1958-01-01,"['ALLOGA FRANCE', 'ALLOGA (AMIENS)', 'ALLOGA (FRANCE)', 'MEDIPOLE DISTRIBUTION', 'LABORATOIRES PRIMASOIN']",GE,500 à 999 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', ""Intermédiaires spécialisés dans le commerce d'autres produits spécifiques"", 'Entreposage et stockage non frigorifique', 'Autres activités de soutien aux entreprises n.c.a.']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
325241750,Unité diffusible,1982-08-01,"['VYGON', 'FINANCIERE VYGON']",ETI,250 à 499 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', 'Fabrication de matériel médico-chirurgical et dentaire']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
563820489,Unité diffusible,1956-01-01,"['LEGALLAIS', 'LEGALLAIS-BOUCHARD', 'FINANCIERE LEGALLAIS BOUCHARD', 'LEGALLAIS ET BOUCHARD']",ETI,1 000 à 1 999 salariés,['Commerce de gros (commerce interentreprises) de quincaillerie'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
789947322,Unité diffusible,2012-12-07,"['BIO-RAD', 'BIO-RAD 2']",ETI,500 à 999 salariés,['Recherche-développement en autres sciences physiques et naturelles'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
489102889,Unité diffusible,2003-10-01,['SCC'],PME,1 ou 2 salariés,['Activités des syndicats de salariés'],[]
433944485,Unité diffusible,2000-12-14,['ARROW GENERIQUES'],ETI,200 à 249 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', 'Fabrication de préparations pharmaceutiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
312261894,Unité diffusible,1978-01-01,"['CIS BIO INTERNATIONAL', 'INTERNATIONAL CIS']",ETI,250 à 499 salariés,"['Enrichissement et  retraitement de matières nucléaires', 'Fabrication de préparations pharmaceutiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
421287855,Unité diffusible,1998-12-22,"['V W R INTERNATIONAL', 'MERCK EUROLAB', 'FINANCIERE 37']",ETI,250 à 499 salariés,"['Commerce de gros (commerce interentreprises) de produits chimiques', 'Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
383711678,Unité diffusible,1991-09-12,['SCHINDLER'],ETI,2 000 à 4 999 salariés,"[""Autres travaux d'installation n.c.a.""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire"", ""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
857200521,Unité diffusible,1957-01-01,['CENTRE SPECIALITES PHARMACEUTIQUES'],ETI,1 000 à 1 999 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', ""Intermédiaires spécialisés dans le commerce d'autres produits spécifiques""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
315871640,Unité diffusible,1976-01-01,"['IDEX ENERGIES', 'IDEX ET COMPAGNIE']",ETI,2 000 à 4 999 salariés,"[""Réparation d'ouvrages en métaux"", ""Production et distribution de vapeur et d'air conditionné ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
398043356,Unité diffusible,1994-08-11,"['ABBOTT MEDICAL FRANCE SAS', 'ST JUDE MEDICAL FRANCE SAS', 'ST JUDE MEDICAL FRANCE SA', 'PACESETTER FRANCE SA']",ETI,250 à 499 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', ""Intermédiaires spécialisés dans le commerce d'autres produits spécifiques""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
682040837,Unité diffusible,1968-01-01,"['SMAC', 'SMAC-ACIEROID']",ETI,1 000 à 1 999 salariés,"[""Travaux d'étanchéification""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
334873726,Unité diffusible,1986-01-01,"['PROXISERVE', 'COMPTAGE ET SERVICES', 'CFCE COMPTAGE ET SERVICES']",ETI,2 000 à 4 999 salariés,"[""Travaux d'installation d'équipements thermiques et de climatisation"", ""Travaux d'installation d'eau et de gaz en tous locaux""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
