siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
220600019,Unité diffusible,1982-09-30,['DEPARTEMENT DES ALPES MARITIMES'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
220100010,Unité diffusible,1983-03-01,['DEPARTEMENT DE L AIN'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
279200224,Unité diffusible,1982-01-01,"['HAUTS-DE-SEINE HABITAT - OPH', 'OFFICE PUBLIC DEPARTEMENTAL HABITAT HAUTS DE SEINE', 'OFFICE PUB DEP D HLM DES HAUTS DE SEINE']",ETI,500 à 999 salariés,['Location de logements'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
813755949,Unité diffusible,2015-08-07,['OPH DE LA METROPOLE DE LYON'],ETI,500 à 999 salariés,['Location de logements'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200060739,Unité diffusible,2016-01-01,['LES RESIDENCES DU QUERCY BLANC'],PME,100 à 199 salariés,['Hébergement médicalisé pour personnes âgées'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
237500079,Unité diffusible,1982-01-01,['REGION ILE DE FRANCE'],GE,10 000 salariés et plus,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
243300316,Unité diffusible,1968-01-01,"['BORDEAUX METROPOLE', 'COMMUNAUTE URBAINE DE BORDEAUX']",GE,5 000 à 9 999 salariés,['Administration publique générale'],[]
216901231,Unité diffusible,1982-01-01,['COMMUNE DE LYON'],GE,10 000 salariés et plus,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
972507495,Unité diffusible,1972-01-01,"[""SA D'HLM REGION LYONNAISE GABRIEL ROSSETSOCIETE ANONYME D'HABITATION A LOYER    MODERE"", 'HLM REGION LYONNAISE GABRIEL ROSSET SA', 'HLM DU FOYER NOTRE-DAME DES SANS-ABRIS', 'H L M FOYER N D DES SANS ABRI']",,,['Location de logements'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
217102706,Unité diffusible,1978-01-01,['COMMUNE DE MACON'],ETI,1 000 à 1 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
274900034,Unité diffusible,1978-01-01,"[""MAINE-ET-LOIRE HABITAT OFFICE PUBLIC DE L'HABITAT"", 'OFFICE PUBLIC DE L HABITAT', 'OFFICE PUB DEPART HLM DE MAINE ET LOIRE']",ETI,100 à 199 salariés,['Location de logements'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200046977,Unité diffusible,2015-01-01,['METROPOLE DE LYON'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
552081317,Unité diffusible,1955-01-01,['ELECTRICITE DE FRANCE'],GE,10 000 salariés et plus,"[""Production d'électricité""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
243100518,Unité diffusible,1992-12-08,"['TOULOUSE METROPOLE', 'COMMUNAUTE URBAINE DU GRAND TOULOUSE', ""COMMUNAUTE D'AGGLOMERATION DU GRAND TOULOUSE"", 'COMMUNAUTE AGGLOMERATION GRAND TOULOUSE', 'DISTRICT DU GRAND TOULOUSE']",GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200049922,Unité diffusible,2015-01-01,['SI ENERGIES COTE DOR'],PME,20 à 49 salariés,['Administration publique générale'],[]
221300015,Unité diffusible,1968-09-01,['DEPARTEMENT DES BOUCHES DU RHONE'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
226400018,Unité diffusible,1982-01-01,['DEPARTEMENT DES PYRENEES ATLANTIQUES'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
254401094,Unité diffusible,1978-01-01,"[""SYNDICAT MIXTE ATLANTIC'EAU"", ""SYNDICAT MIXTE ALTANTIC'EAU"", 'SYNDICAT DEPARTEMENTAL D ALIMENTATION EN EAU POTABLE DE LOIRE ATLANTIQUE', 'SYND DEPART ALIMENTATION EN EAU POTABLE']",ETI,20 à 49 salariés,"[""Captage, traitement et distribution d'eau"", 'Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale ']",[]
200054807,Unité diffusible,2016-01-01,"[""METROPOLE D'AIX-MARSEILLE-PROVENCE""]",GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
259741023,Unité diffusible,2000-03-29,"['SI D ELECTRICITE DE LA REUNION', 'SYND INTERCOM ELECTRICITE DE LA REUNION']",PME,50 à 99 salariés,['Administration publique (tutelle) des activités économiques'],[]
434078770,Unité diffusible,2000-11-21,"['SPL DELTA 3', 'DELTA 3']",PME,6 à 9 salariés,"['Ingénierie, études techniques', ""Promotion immobilière d'autres bâtiments""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
535245716,Unité diffusible,2011-10-01,"['SPL TECELYS', 'SPL DES TRANSPORTS PUBLICS URBAINS DU GRAND AVIGNON']",PME,20 à 49 salariés,"['Transports urbains et suburbains de voyageurs', 'Ingénierie, études techniques', 'Conseil pour les affaires et autres conseils de gestion']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
257500074,Unité diffusible,1984-05-15,"['AGENCE METROPOLITAINE DES DECHETS MENAGERS', 'SYNDICAT MIXTE CENTRAL TRAITEMENT ORDURES MENAGERES', 'SYND MIXTE CENTRAL TRAITEM ORDURES MENAG']",PME,100 à 199 salariés,['Traitement et élimination des déchets non dangereux'],[]
130013071,Unité diffusible,2010-12-15,['DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES SAVOIE'],ETI,500 à 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
272000019,Unité diffusible,1983-01-01,"[""OFFICE PUBLIC DE L'HABITAT DE LA COMMUNAUTE D'AGGLOMERATION DU PAYS AJACCIEN"", 'OFFICE PUBLIC DE L HABITAT DE LA CORSE DU SUD', 'OFFICE PUB DEP HLM CORSE DU SUD']",PME,50 à 99 salariés,['Location de logements'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
218201218,Unité diffusible,1982-01-01,['COMMUNE DE MONTAUBAN'],ETI,1 000 à 1 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
223400011,Unité diffusible,1982-01-01,['DEPARTEMENT DE L HERAULT'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
180089013,Unité diffusible,1965-02-17,"['CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE', 'CENT NAT DE LA RECHERCHE SCIENTIFIQUE']",GE,10 000 salariés et plus,['Recherche-développement en autres sciences physiques et naturelles'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
239740012,Unité diffusible,1983-01-01,['REGION REUNION'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
241700624,Unité diffusible,1995-12-26,"['COMMUNAUTE DE COMMUNES DE L ILE D OLERON', ""COMMUNAUTE DE COMMUNES DE L'ILE D'OLERON""]",PME,100 à 199 salariés,['Administration publique générale'],[]
200052264,Unité diffusible,2016-01-01,"['REGION GRAND EST', 'REGION ALSACE, CHAMPAGNE-ARDENNE ET LORRAINE']",GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
253403430,Unité diffusible,2003-07-29,['SYNDICAT MIXTE TRANSPORTS COMMUN HERAULT'],PME,20 à 49 salariés,['Administration publique (tutelle) des activités économiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
223800012,Unité diffusible,1983-01-01,['DEPARTEMENT DE L ISERE'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200055655,Unité diffusible,2016-01-01,"[""COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE""]",ETI,500 à 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
210600797,Unité diffusible,1980-01-31,['COMMUNE DE MANDELIEU LA NAPOULE'],ETI,500 à 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200068864,Unité diffusible,2017-01-01,['COMMUNAUTE DE COMMUNES  DE LA MOSSIG ET DU VIGNOBLE'],PME,50 à 99 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
213300635,Unité diffusible,1980-01-01,['COMMUNE DE BORDEAUX'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
211703335,Unité diffusible,1978-01-01,['COMMUNE DE SAINT GEORGES DE DIDONNE'],PME,100 à 199 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
120014048,Unité diffusible,1983-03-01,"[""DIRECTION DE L'EVALUATION DE LA PERFORMANCE ET DES AFFAIRES FINANCIERES ET IMMOBILIERES"", 'DIR PROGR AFFAI FINANCIERES IMMOBILIERES']",ETI,250 à 499 salariés,['Administration publique générale'],[]
226900017,Unité diffusible,1973-09-01,['DEPARTEMENT DU RHONE'],ETI,1 000 à 1 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
