siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
300599123,Unité diffusible,1977-01-01,"['ASS NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES', 'ASS NAT FORMATION PROFESSION ADULTE', 'ASS NAT FORMATION PROFESSION ADULTES', 'ASS NALE FORMATION PROFESSION ADULTES', 'ASS FORMATION PROFESSIONNELLE ADULTES']",,,"[""Formation continue d'adultes""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
226200012,Unité diffusible,1980-07-07,['DEPARTEMENT DU PAS DE CALAIS'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
535366827,Unité diffusible,2011-10-15,['TRAVELIS'],PME,100 à 199 salariés,"['Autres transports routiers de voyageurs ', 'Transports urbains et suburbains de voyageurs', 'Transports routiers réguliers de voyageurs']",[]
226200012,Unité diffusible,1980-07-07,['DEPARTEMENT DU PAS DE CALAIS'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
482860046,Unité diffusible,2005-07-01,"['PROXIDROP', 'PROXI DROP']",PME,250 à 499 salariés,"['Autres transports routiers de voyageurs ', 'Transports de voyageurs par taxis']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200053791,Unité diffusible,2016-01-01,"['REGION OCCITANIE', 'REGION LANGUEDOC-ROUSSILLON-MIDI-PYRENEES']",GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
824363436,Unité diffusible,2017-01-01,"[""AFPA ACCES A L' EMPLOI""]",GE,250 à 499 salariés,"[""Formation continue d'adultes""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
226200012,Unité diffusible,1980-07-07,['DEPARTEMENT DU PAS DE CALAIS'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
814657953,Unité diffusible,2015-11-10,['UNIGO'],PME,200 à 249 salariés,"['Transports urbains et suburbains de voyageurs', 'Autres transports routiers de voyageurs ', 'Transports de voyageurs par taxis']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
221401185,Unité diffusible,1926-08-01,['DEPARTEMENT DU CALVADOS'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
321814881,Unité diffusible,1981-06-01,"['TOFFOLUTTI SA', 'SA TOFFOLUTTI', 'SA TOFFOLUTI', 'TOFFOLUTTI ETUDES ET TRAVAUX']",ETI,250 à 499 salariés,['Construction de routes et autoroutes'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
237600010,Unité diffusible,1983-03-01,['REGION DE HAUTE NORMANDIE'],,,['Administration publique générale'],[]
340615012,Unité diffusible,1987-01-01,['EDUCATION ET FORMATION'],ETI,250 à 499 salariés,"[""Formation continue d'adultes""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire"", ""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
130006364,Unité diffusible,2009-04-01,['ETABLISSEMENT NATIONAL DES PRODUITS DE L AGRICULTURE ET DE LA MER FRANCEAGRIMER'],ETI,1 000 à 1 999 salariés,['Administration publique (tutelle) des activités économiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
682041389,Unité diffusible,1968-01-01,"['SOCIETE GUILLOT JOUANI', 'EXPLOIT ETABL GUILLOT JOUANI']",ETI,20 à 49 salariés,"['Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
221401185,Unité diffusible,1926-08-01,['DEPARTEMENT DU CALVADOS'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
402038384,Unité diffusible,1995-08-08,"['EIFFAGE ROUTE OUEST', 'EIFFAGE TRAVAUX PUBLICS OUEST', 'APPIA HAUTE NORMANDIE', 'SNC BEUGNET NORMANDIE']",,,['Construction de routes et autoroutes'],[]
409108115,Unité diffusible,1996-10-01,['SOCIETE DE TRAITEMENT DE PRESSE'],GE,1 000 à 1 999 salariés,"[""Activités de poste dans le cadre d'une obligation de service universel "", 'Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
443447222,Unité diffusible,2002-09-18,"['DUC INDUSTRIE', 'CHALAVAN ET DUC INDUSTRIE']",ETI,100 à 199 salariés,['Transports routiers de fret interurbains'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
342143955,Unité diffusible,1987-06-02,"['LOGEMLOIRET', 'OFFICE PUBLIC AMENAGE CONSTRUC']",ETI,200 à 249 salariés,['Location de logements'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
414953547,Unité diffusible,1997-12-16,['GALLIER'],PME,100 à 199 salariés,"[""Travaux d'installation d'équipements thermiques et de climatisation""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
223300013,Unité diffusible,1982-01-01,['DEPARTEMENT DE LA GIRONDE'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
508962701,Unité diffusible,2008-11-01,['PRIMA AQUITAINE'],,,"['Ingénierie, études techniques']",[]
809704976,Unité diffusible,2015-01-28,['EMA'],,,['Location de logements'],[]
389900663,Unité diffusible,1993-01-20,"['2E ENERGY', 'NEWCO FINANCE & COMMODITES']",PME,,"[""Intermédiaires spécialisés dans le commerce d'autres produits spécifiques""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
264200304,Unité diffusible,1981-01-01,"['CENTRE HOSPITALIER UNIVERSITAIRE', 'CHU SAINT ETIENNE']",GE,5 000 à 9 999 salariés,['Activités hospitalières'],[]
525009809,Unité diffusible,2010-09-15,['BECTON DICKINSON EUROPE HOLDINGS'],ETI,100 à 199 salariés,['Activités des sièges sociaux'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
130018435,Unité diffusible,2013-09-01,"['GIP LABEO', 'GIP LABORATOIRES NORMANDS ASSOCIES']",PME,250 à 499 salariés,"['Analyses, essais et inspections techniques']",[]
315228429,Unité diffusible,1979-01-01,"['ABB SAS', 'ABB SA', 'ASEA BROWN BOVERI SA', 'ASEA BROWN BOVERI FRANCE SA']",ETI,3 à 5 salariés,"['Activités des sièges sociaux', 'Autres activités de soutien aux entreprises n.c.a.', 'Activités spécialisées, scientifiques et techniques diverses']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
775685316,Unité diffusible,1948-03-19,"['CAISSE AUTONOME NATIONALE SECURITE SOCIALE MINES', 'CAISS AUTONOM NAT SECURITE SOCIALE MINES', 'CAISS AUTONOM SECURIT SOCIAL MALADIE', 'CAISS AUTONOM SECURIT SOCIAL M']",ETI,5 000 à 9 999 salariés,"['Activité des médecins généralistes', 'Activités générales de sécurité sociale']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
552123341,Unité diffusible,1982-09-01,"['SANDOZ', 'GNR-PHARMA SAS', 'LABORATOIRES GNR-PHARMA']",GE,250 à 499 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', 'Fabrication de préparations pharmaceutiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
235700010,Unité diffusible,1983-03-01,['REGION DE LORRAINE'],,,['Administration publique générale'],[]
300599123,Unité diffusible,1977-01-01,"['ASS NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES', 'ASS NAT FORMATION PROFESSION ADULTE', 'ASS NAT FORMATION PROFESSION ADULTES', 'ASS NALE FORMATION PROFESSION ADULTES', 'ASS FORMATION PROFESSIONNELLE ADULTES']",,,"[""Formation continue d'adultes""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
428822852,Unité diffusible,1999-12-29,['ETABLISSEMENT FRANCAIS DU SANG'],GE,5 000 à 9 999 salariés,"[""Centres de collecte et banques d'organes""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
789947322,Unité diffusible,2012-12-07,"['BIO-RAD', 'BIO-RAD 2']",ETI,500 à 999 salariés,['Recherche-développement en autres sciences physiques et naturelles'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
219740222,Unité diffusible,1970-10-01,['COMMUNE DU TAMPON'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
785742313,Unité diffusible,1973-01-01,"['PRO A PRO DISTRIBUTION EXPORT', 'ETABLISSEMENTS JEAN DIDIER ET COMPAGNIE']",GE,100 à 199 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) alimentaire spécialisé divers', 'Commerce de gros (commerce interentreprises) de produits surgelés']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
130006364,Unité diffusible,2009-04-01,['ETABLISSEMENT NATIONAL DES PRODUITS DE L AGRICULTURE ET DE LA MER FRANCEAGRIMER'],ETI,1 000 à 1 999 salariés,['Administration publique (tutelle) des activités économiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
519638274,Unité diffusible,2009-12-29,['SOCIETE FRANCAISE DE DEVELOPPEMENT AGROALIMENTAIRE'],PME,,"[""Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ""]",[]
263400111,Unité diffusible,1982-01-01,"['CENTRE HOSPITALIER DE BEZIERS', 'CENTRE HOSPITALIER']",ETI,2 000 à 4 999 salariés,['Activités hospitalières'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
433944485,Unité diffusible,2000-12-14,['ARROW GENERIQUES'],ETI,200 à 249 salariés,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', 'Fabrication de préparations pharmaceutiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200053726,Unité diffusible,2016-01-01,['REGION BOURGOGNE-FRANCHE-COMTE'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
824228142,Unité diffusible,2017-01-01,['AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES'],GE,5 000 à 9 999 salariés,"[""Formation continue d'adultes""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
225900018,Unité diffusible,1982-01-01,['DEPARTEMENT DU NORD'],GE,10 000 salariés et plus,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
344905161,Unité diffusible,1988-04-01,"['SLEMBROUCK SAS', 'TRANSPORTS SLEMBROUCK SA']",PME,100 à 199 salariés,['Transports routiers réguliers de voyageurs'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
195720818,Unité diffusible,1969-05-16,"['UNIVERSITE DE METZ PAUL VERLAINE', 'UNIVERSITE DE METZ']",,,['Enseignement supérieur'],[]
398827337,Unité diffusible,1994-11-03,"['FISHER SCIENTIFIC S.A.S.', 'FISHER BIOBLOCK SCIENTIFIC', 'FISHER SCIENTIFIC HOLDING FRANCE SA']",ETI,250 à 499 salariés,['Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
227100013,Unité diffusible,1978-01-01,['DEPARTEMENT DE SAONE ET LOIRE'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
725815344,Unité diffusible,1965-01-01,"['AUTOCARS GIRARDOT', 'CARS GAUTHIER']",PME,200 à 249 salariés,"['Transports routiers réguliers de voyageurs', 'Autres transports routiers de voyageurs ']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
776056467,Unité diffusible,1900-01-01,"[""UNION DES GROUPEMENTS D'ACHATS PUBLICS"", 'UNION GROUPEMENT ACHAT PUBLIC UGAP']",ETI,1 000 à 1 999 salariés,"[""Centrales d'achat non alimentaires""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
489102889,Unité diffusible,2003-10-01,['SCC'],PME,1 ou 2 salariés,['Activités des syndicats de salariés'],[]
776056467,Unité diffusible,1900-01-01,"[""UNION DES GROUPEMENTS D'ACHATS PUBLICS"", 'UNION GROUPEMENT ACHAT PUBLIC UGAP']",ETI,1 000 à 1 999 salariés,"[""Centrales d'achat non alimentaires""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
339111247,Unité diffusible,1986-10-27,"['ONET SERVICES INDUSTRIE', 'HYDROSERV', 'CERI HYDROSERV']",GE,100 à 199 salariés,"['Autres activités de nettoyage des bâtiments et nettoyage industriel', 'Nettoyage courant des bâtiments', 'Autres activités de nettoyage n.c.a.']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
233300011,Unité diffusible,1982-01-01,"[""REGION D'AQUITAINE""]",,,['Administration publique générale'],[]
317542025,Unité diffusible,1979-01-01,['INSUP AQUITAINE'],ETI,200 à 249 salariés,"[""Formation continue d'adultes""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
193821071,Unité diffusible,1973-02-21,"[""ETABLISSEMENT REGIONAL D'ENSEIGNEMENT ADAPTE PIERRE RABHI"", 'ETAB REGIONAL ENSEIGNEMENT ADAPTE']",PME,20 à 49 salariés,['Enseignement secondaire technique ou professionnel'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
482691300,Unité diffusible,2005-03-17,"['MANGEZ BIO ISERE', ""MANGER BIO D'ICI ALPES-BUGEY"", 'MANGER BIO ISERE']",PME,20 à 49 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Autres organisations fonctionnant par adhésion volontaire']","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
195720818,Unité diffusible,1969-05-16,"['UNIVERSITE DE METZ PAUL VERLAINE', 'UNIVERSITE DE METZ']",,,['Enseignement supérieur'],[]
421287855,Unité diffusible,1998-12-22,"['V W R INTERNATIONAL', 'MERCK EUROLAB', 'FINANCIERE 37']",ETI,250 à 499 salariés,"['Commerce de gros (commerce interentreprises) de produits chimiques', 'Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
195720818,Unité diffusible,1969-05-16,"['UNIVERSITE DE METZ PAUL VERLAINE', 'UNIVERSITE DE METZ']",,,['Enseignement supérieur'],[]
340275924,Unité diffusible,1987-01-30,"['SIGMA ALDRICH CHIMIE', 'SIGMA CHIMIE']",GE,100 à 199 salariés,['Commerce de gros (commerce interentreprises) de produits chimiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
263305823,Unité diffusible,1980-01-01,"['CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX', 'CENTRE HOSPITALIER REGIONAL DE BORDEAUX']",GE,10 000 salariés et plus,['Activités hospitalières'],[]
312261894,Unité diffusible,1978-01-01,"['CIS BIO INTERNATIONAL', 'INTERNATIONAL CIS']",ETI,250 à 499 salariés,"['Enrichissement et  retraitement de matières nucléaires', 'Fabrication de préparations pharmaceutiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
808269559,Unité diffusible,2014-12-08,"['VIAPOSTE TRANSPORT MANAGEMENT', 'VIAPOST TRANSPORT MANAGEMENT', 'SFPOST.1']",GE,100 à 199 salariés,"['Affrètement et organisation des transports ', 'Activités des sociétés holding']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
383625258,Unité diffusible,1991-10-01,['TRANS EUROP EXPRESS'],ETI,200 à 249 salariés,['Transports routiers de fret interurbains'],[]
428822852,Unité diffusible,1999-12-29,['ETABLISSEMENT FRANCAIS DU SANG'],GE,5 000 à 9 999 salariés,"[""Centres de collecte et banques d'organes""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
317194348,Unité diffusible,1979-01-01,['DIAMED FRANCE SA'],ETI,,"['Commerce de gros (commerce interentreprises) de produits pharmaceutiques', 'Fabrication de préparations pharmaceutiques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
216601369,Unité diffusible,1982-01-01,['COMMUNE DE PERPIGNAN'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
419440581,Unité diffusible,1998-07-01,"['USAP', 'SAOS USAP']",PME,50 à 99 salariés,['Activités de clubs de sports'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
267700052,Unité diffusible,1955-06-01,"['GROUPE HOSPITALIER DU SUD ILE DE FRANCE', 'CENTRE HOSPITALIER MARC JACQUET', 'CENTRE HOSPITALIER DE MELUN']",ETI,2 000 à 4 999 salariés,['Activités hospitalières'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
443590690,Unité diffusible,2002-06-03,"['CSE SWI EX SAF', 'SANOFI AVENTIS FRANCE', ""COMITE D'ENTREPRISE SANOFI SYNTHELABO""]",PME,3 à 5 salariés,['Activités des syndicats de salariés'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
